PLN_AREA_N,Elderly Population,Good Access (<800m),Poor Access (>800m),Total_HDB,% Good Access (<800m)
BEDOK,62900,199.0,429.0,628.0,31.687898089171973
TAMPINES,50900,348.0,589.0,937.0,37.13980789754536
HOUGANG,45870,121.0,551.0,672.0,18.00595238095238
JURONG WEST,42490,211.0,680.0,891.0,23.681257014590347
ANG MO KIO,40520,106.0,346.0,452.0,23.451327433628318
YISHUN,37780,181.0,542.0,723.0,25.03457814661134
BUKIT MERAH,36430,203.0,363.0,566.0,35.86572438162544
WOODLANDS,33530,337.0,536.0,873.0,38.60252004581902
SENGKANG,33280,797.0,38.0,835.0,95.44910179640719
TOA PAYOH,30850,210.0,203.0,413.0,50.847457627118644
BUKIT BATOK,28920,147.0,356.0,503.0,29.22465208747515
SERANGOON,26980,101.0,157.0,258.0,39.14728682170542
CHOA CHU KANG,26680,340.0,299.0,639.0,53.20813771517997
GEYLANG,25230,243.0,93.0,336.0,72.32142857142857
KALLANG,23740,207.0,60.0,267.0,77.52808988764045
BUKIT PANJANG,23390,390.0,27.0,417.0,93.5251798561151
QUEENSTOWN,22600,208.0,142.0,350.0,59.42857142857143
PASIR RIS,21800,62.0,474.0,536.0,11.567164179104477
CLEMENTI,21320,83.0,162.0,245.0,33.87755102040816
BISHAN,19300,78.0,201.0,279.0,27.956989247311824
PUNGGOL,18900,624.0,46.0,670.0,93.13432835820895
JURONG EAST,17750,46.0,220.0,266.0,17.293233082706767
BUKIT TIMAH,15030,26.0,3.0,29.0,89.65517241379311
SEMBAWANG,12330,161.0,186.0,347.0,46.39769452449568
MARINE PARADE,9920,0.0,78.0,78.0,0.0
NOVENA,9640,0.0,114.0,114.0,0.0
OUTRAM,4840,37.0,17.0,54.0,68.51851851851852
TANGLIN,3780,3.0,0.0,3.0,100.0
ROCHOR,3010,45.0,0.0,45.0,100.0
RIVER VALLEY,1600,0.0,0.0,0.0,0.0
NEWTON,1290,0.0,0.0,0.0,0.0
TENGAH,660,0.0,0.0,0.0,0.0
DOWNTOWN CORE,330,7.0,0.0,7.0,100.0
SINGAPORE RIVER,330,0.0,0.0,0.0,0.0
MANDAI,310,0.0,0.0,0.0,0.0
CHANGI,280,0.0,8.0,8.0,0.0
SOUTHERN ISLANDS,240,0.0,0.0,0.0,0.0
SUNGEI KADUT,170,0.0,0.0,0.0,0.0
ORCHARD,150,0.0,0.0,0.0,0.0
WESTERN WATER CATCHMENT,20,0.0,0.0,0.0,0.0
MUSEUM,10,0.0,0.0,0.0,0.0
MARINA SOUTH,0,0.0,0.0,0.0,0.0
MARINA EAST,0,0.0,0.0,0.0,0.0
CHANGI BAY,0,0.0,0.0,0.0,0.0
BOON LAY,0,0.0,0.0,0.0,0.0
LIM CHU KANG,0,0.0,0.0,0.0,0.0
CENTRAL WATER CATCHMENT,0,0.0,0.0,0.0,0.0
SELETAR,0,0.0,0.0,0.0,0.0
PAYA LEBAR,0,0.0,0.0,0.0,0.0
PIONEER,0,0.0,0.0,0.0,0.0
NORTH-EASTERN ISLANDS,0,0.0,0.0,0.0,0.0
STRAITS VIEW,0,0.0,0.0,0.0,0.0
SIMPANG,0,0.0,0.0,0.0,0.0
TUAS,0,0.0,0.0,0.0,0.0
WESTERN ISLANDS,0,0.0,0.0,0.0,0.0
